ElapsedTime_s,Height_km,Latitude_deg,LongitudeE_deg,TotalRadius_km,LatitudeRadius_km,Gravity_ms2,Temperature_K,Pressure_Pa,Density_kgm3,PressureScaleHeight_km,DensityScaleHeight_km,SpeedOfSound_ms,PressureAtSurface_Pa,SigmaLevel,PressureAltitude_km,ReferenceTemperature_K,ReferencePressure_Pa,ReferenceDensity_kgm3,ProfileWeight,LowDensity_kgm3,HighDensity_kgm3,PerturbedDensity_kgm3,DensityPerturbation_pct,DensityStandardDeviation_pct,PerturbedSpeedOfSound_ms,RelativeStepSize,DensityDeviation_pct,LowDensityDeviation_pct,HighDensityDeviation_pct,PerturbedDensityDeviation_pct,EWWind_ms,NSWind_ms,EWWindPerturbation_ms,NSWindPerturbation_ms,PerturbedEWWind_ms,PerturbedNSWind_ms,EWStandardDeviation_ms,NSStandardDeviation_ms,LongitudeOfTheSun,SubsolarLatitude_deg,SubsolarLongitudeE_deg,LocalSolarTime_hr,SolarZenithAngle_deg,OneWayLightTime_min,OrbitalRadius_AU,SecondsPerSol,TotalNumberDensity_m3,SpecificGasConstant_JkgK,SpecificHeatRatio,AverageMolecularWeight,CompressibilityFactor,H2nd_m3,H2mass_pct,H2mole_pct,H2amw,Hend_m3,Hemass_pct,Hemole_pct,Heamw,CH4nd_m3,CH4mass_pct,CH4mole_pct,CH4amw,
160.0,450.000,75.00,25.00,25461.001,25011.001,8.839,162.7,5.773e-01,9.879e-07,63.681,56.593,934.7,1.000e+05,0.000,768.145,162.7,5.773e-01,9.879e-07,0.0,8.981e-07,1.087e-06,1.203e-06,21.7,9.55,847.2,6115.62,0.0,-9.1,10.0,21.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.42,46.51,42.88,13.19,28.79,171.92,19.81,62064.0,2.5661e+20,3.591e+03,1.495e+00,2.318,1.0014,2.1809e+20,74.05,84.99,2.02,3.8490e+19,25.88,15.00,4.00,2.5660e+16,0.07,0.01,16.04,
170.0,450.000,75.00,50.00,25461.001,25011.001,8.839,162.7,5.773e-01,9.879e-07,63.681,56.593,934.7,1.000e+05,0.000,768.145,162.7,5.773e-01,9.879e-07,0.0,8.981e-07,1.087e-06,9.341e-07,-5.4,9.55,961.3,1042.96,0.0,-9.1,10.0,-5.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.42,46.51,42.94,11.53,27.97,171.92,19.81,62064.0,2.5661e+20,3.591e+03,1.495e+00,2.318,1.0014,2.1809e+20,74.05,84.99,2.02,3.8490e+19,25.88,15.00,4.00,2.5660e+16,0.07,0.01,16.04,
180.0,450.000,75.00,75.00,25461.001,25011.001,8.839,162.7,5.773e-01,9.879e-07,63.681,56.593,934.7,1.000e+05,0.000,768.145,162.7,5.773e-01,9.879e-07,0.0,8.981e-07,1.087e-06,1.005e-06,1.7,9.55,926.9,1042.96,0.0,-9.1,10.0,1.7,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,48.42,46.51,43.00,9.87,30.78,171.92,19.81,62064.0,2.5661e+20,3.591e+03,1.495e+00,2.318,1.0014,2.1809e+20,74.05,84.99,2.02,3.8490e+19,25.88,15.00,4.00,2.5660e+16,0.07,0.01,16.04,
190.0,400.000,25.00,25.00,25851.308,25451.308,8.472,147.3,1.265e+00,2.392e-06,33.312,29.811,894.2,1.000e+05,0.000,375.687,147.3,1.265e+00,2.392e-06,0.0,2.174e-06,2.631e-06,2.413e-06,0.9,9.55,890.3,15689.88,0.0,-9.1,10.0,0.9,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,48.42,46.51,43.06,13.20,26.00,171.92,19.81,62064.0,6.2123e+20,3.591e+03,1.512e+00,2.318,1.0013,5.2798e+20,74.05,84.99,2.02,9.3184e+19,25.88,15.00,4.00,6.2123e+16,0.07,0.01,16.04,
200.0,400.000,25.00,50.00,25851.308,25451.308,8.472,147.3,1.265e+00,2.392e-06,33.312,29.811,894.2,1.000e+05,0.000,375.687,147.3,1.265e+00,2.392e-06,0.0,2.174e-06,2.631e-06,2.159e-06,-9.7,9.55,941.1,3708.13,0.0,-9.1,10.0,-9.7,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,48.42,46.51,43.12,11.54,22.46,171.92,19.81,62064.0,6.2123e+20,3.591e+03,1.512e+00,2.318,1.0013,5.2798e+20,74.05,84.99,2.02,9.3184e+19,25.88,15.00,4.00,6.2123e+16,0.07,0.01,16.04,
210.0,400.000,25.00,75.00,25851.308,25451.308,8.472,147.3,1.265e+00,2.392e-06,33.312,29.811,894.2,1.000e+05,0.000,375.687,147.3,1.265e+00,2.392e-06,0.0,2.174e-06,2.631e-06,2.267e-06,-5.2,9.55,918.4,3708.13,0.0,-9.1,10.0,-5.2,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,48.42,46.51,43.17,9.88,33.09,171.92,19.81,62064.0,6.2123e+20,3.591e+03,1.512e+00,2.318,1.0013,5.2798e+20,74.05,84.99,2.02,9.3184e+19,25.88,15.00,4.00,6.2123e+16,0.07,0.01,16.04,
220.0,400.000,50.00,25.00,25610.195,25210.195,8.692,147.3,1.265e+00,2.392e-06,33.312,29.811,894.2,1.000e+05,0.000,375.687,147.3,1.265e+00,2.392e-06,0.0,2.174e-06,2.631e-06,2.232e-06,-6.7,9.55,925.6,9264.14,0.0,-9.1,10.0,-6.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.42,46.51,43.23,13.22,12.29,171.92,19.81,62064.0,6.2123e+20,3.591e+03,1.512e+00,2.318,1.0013,5.2798e+20,74.05,84.99,2.02,9.3184e+19,25.88,15.00,4.00,6.2123e+16,0.07,0.01,16.04,
230.0,400.000,50.00,50.00,25610.195,25210.195,8.692,147.3,1.265e+00,2.392e-06,33.312,29.811,894.2,1.000e+05,0.000,375.687,147.3,1.265e+00,2.392e-06,0.0,2.174e-06,2.631e-06,2.367e-06,-1.0,9.55,898.9,2605.42,0.0,-9.1,10.0,-1.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,48.42,46.51,43.29,11.55,5.56,171.92,19.81,62064.0,6.2123e+20,3.591e+03,1.512e+00,2.318,1.0013,5.2798e+20,74.05,84.99,2.02,9.3184e+19,25.88,15.00,4.00,6.2123e+16,0.07,0.01,16.04,
240.0,400.000,50.00,75.00,25610.195,25210.195,8.692,147.3,1.265e+00,2.392e-06,33.312,29.811,894.2,1.000e+05,0.000,375.687,147.3,1.265e+00,2.392e-06,0.0,2.174e-06,2.631e-06,2.449e-06,2.4,9.55,883.7,2605.42,0.0,-9.1,10.0,2.4,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,48.42,46.51,43.35,9.89,20.65,171.92,19.81,62064.0,6.2123e+20,3.591e+03,1.512e+00,2.318,1.0013,5.2798e+20,74.05,84.99,2.02,9.3184e+19,25.88,15.00,4.00,6.2123e+16,0.07,0.01,16.04,
250.0,400.000,75.00,25.00,25411.001,25011.001,8.874,147.3,1.265e+00,2.392e-06,33.312,29.811,894.2,1.000e+05,0.000,375.687,147.3,1.265e+00,2.392e-06,0.0,2.174e-06,2.631e-06,1.776e-06,-25.7,9.55,1037.5,6103.61,0.0,-9.1,10.0,-25.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.42,46.51,43.41,13.23,28.84,171.92,19.81,62064.0,6.2123e+20,3.591e+03,1.512e+00,2.318,1.0013,5.2798e+20,74.05,84.99,2.02,9.3184e+19,25.88,15.00,4.00,6.2123e+16,0.07,0.01,16.04,
