degree,order,C,S
11,5,3.7418185400133E-08,4.9585673085193E-08
11,6,-1.5676307067913E-09,3.4273233803252E-08
11,7,4.6566926851174E-09,-8.9827485755930E-08
11,8,-6.3115078555478E-09,2.4548250641060E-08
11,9,-3.1077219992559E-08,4.2064195059190E-08
11,10,-5.2236248904979E-08,-1.8419999688055E-08
11,11,4.6233558067647E-08,-6.9671495497704E-08
12,0,3.6447534344010E-08,0.0000000000000E+00
12,1,-5.3588420180974E-08,-4.3168604684034E-08
12,2,1.4279457759057E-08,3.1099968218994E-08
12,3,3.9634513594680E-08,2.5068879719573E-08
12,4,-6.7720986114589E-08,3.8386421067438E-09
12,5,3.0874964518507E-08,7.5880615616695E-09
12,6,3.1324686465334E-09,3.8979017390624E-08
12,7,-1.9055842127070E-08,3.5724041497226E-08
12,8,-2.5888541844703E-08,1.6936254547229E-08
12,9,4.1910902078378E-08,2.4960722215031E-08
12,10,-6.1993071678133E-09,3.0936809180137E-08
12,11,1.1364762661600E-08,-6.3885059963508E-09
12,12,-2.4197198709965E-09,-1.1109999448845E-08
13,0,4.1730832310432E-08,0.0000000000000E+00
13,1,-5.1442127891891E-08,3.8684366394066E-08
13,2,5.5309064604172E-08,-6.2686328352880E-08
13,3,-2.1551941398155E-08,9.7685379408491E-08
13,4,-3.6431231498392E-09,-1.1753488298561E-08
13,5,5.8369186051182E-08,6.7221002621458E-08
13,6,-3.5043801788546E-08,-6.2754404665189E-09
13,7,3.0112084445549E-09,-7.3225413627691E-09
13,8,-1.0054624578965E-08,-9.8555262762391E-09
13,9,2.4768932642537E-08,4.5887526584866E-08
13,10,4.1111343841021E-08,-3.6842106404213E-08
13,11,-4.4522885012192E-08,-4.8424333300734E-09
13,12,-3.1312205412225E-08,8.7939862200887E-08
13,13,-6.1205539102216E-08,6.8145551770449E-08
14,0,-2.2662515025165E-08,0.0000000000000E+00
14,1,-1.8769264461628E-08,2.8860399962536E-08
14,2,-3.5912985791172E-08,-4.0619893112795E-09
14,3,3.6524161724430E-08,1.9695265327558E-08
14,4,1.6108156220207E-09,-2.2663629265552E-08
14,5,2.9310613297958E-08,-1.6789385261851E-08
14,6,-1.9066189856429E-08,2.4534582918663E-09
14,7,3.7625745752021E-08,-3.9348061510089E-09
14,8,-3.4946512825346E-08,-1.5445892942763E-08
14,9,3.1953913274252E-08,2.8466423949124E-08
14,10,3.8799717437045E-08,-1.2935100123169E-09
14,11,1.5647925665436E-08,-3.9042531276293E-08
14,12,8.4593360307084E-09,-3.1126555464885E-08
14,13,3.2244531127525E-08,4.5149224388329E-08
14,14,-5.1869821414480E-08,-4.8231460265165E-09
15,0,2.1905257035502E-09,0.0000000000000E+00
15,1,9.4317022085275E-09,1.0480606070695E-08
15,2,-2.0530501117192E-08,-3.0297485542396E-08
15,3,5.3414603288307E-08,1.7655617741507E-08
15,4,-4.0168979852342E-08,6.8081835539339E-09
15,5,1.2242898582244E-08,7.6168098562180E-09
15,6,3.2853169627345E-08,-3.6470035642121E-08
15,7,5.9654171639940E-08,5.0707801066573E-09
15,8,-3.2093442263741E-08,2.2175219065042E-08
15,9,1.3298800212059E-08,3.7992312688300E-08
15,10,1.0266858035315E-08,1.4692342183064E-08
15,11,-1.3022225777976E-09,1.8519925529603E-08
15,12,-3.2416393067795E-08,1.5608051136115E-08
15,13,-2.8368610879030E-08,-4.5762967740109E-09
15,14,5.1981104044920E-09,-2.4394669587604E-08
15,15,-1.9029108441758E-08,-4.6967927725804E-09
16,0,-4.7070316974682E-09,0.0000000000000E+00
16,1,2.6189063984499E-08,3.3348218189537E-08
16,2,-2.4505097916532E-08,2.8024874808743E-08
16,3,-3.3907129874229E-08,-2.1340807648934E-08
16,4,4.0854640973498E-08,4.7989144606196E-08
16,5,-1.2121622851736E-08,-3.4450447930836E-09
16,6,1.3871400334680E-08,-3.5598590204550E-08
16,7,-8.0642424025189E-09,-8.6544455527563E-09
16,8,-2.1208448361076E-08,5.4104270194571E-09
16,9,-2.2412930764653E-08,-3.9667726738546E-08
16,10,-1.1807215615297E-08,1.1537853045337E-08
16,11,1.9111505007501E-08,-3.2021820939823E-09
16,12,1.9564840643446E-08,6.7261255757347E-09
16,13,1.3774163349138E-08,1.0462991927680E-09
16,14,-1.9345479833634E-08,-3.8646471154145E-08
16,15,-1.4417578440804E-08,-3.2771090107583E-08
16,16,-3.8300861594181E-08,2.9684454991457E-09
17,0,1.9185638980015E-08,0.0000000000000E+00
17,1,-2.5366868817320E-08,-3.1707736966961E-08
17,2,-2.0101849520459E-08,6.8136527330434E-09
17,3,6.3065835283455E-09,5.0754598771416E-09
17,4,6.4764170829268E-09,2.5331893432571E-08
17,5,-1.6217802149911E-08,8.0269679215482E-09
17,6,-1.1732382122371E-08,-2.9440884355982E-08
17,7,2.4973630530144E-08,-4.3873732881429E-09
17,8,3.8994891825740E-08,3.6361215802557E-09
17,9,3.4765575590903E-09,-2.7642044658897E-08
17,10,-3.7935846504856E-09,1.8378741339064E-08
17,11,-1.6017669912863E-08,1.1084794853122E-08
17,12,2.8722215751703E-08,2.0457437464879E-08
17,13,1.6502476807130E-08,2.0137700833467E-08
17,14,-1.4274382374805E-08,1.1573429988082E-08
17,15,5.5434980472171E-09,5.2447776036803E-09
17,16,-3.0405375760841E-08,3.6072650761386E-09
17,17,-3.4699783952905E-08,-1.9868515993155E-08
18,0,6.0995322853343E-09,0.0000000000000E+00
18,1,7.2037622332582E-09,-3.9289060077271E-08
18,2,1.4727028819456E-08,1.0828232060742E-08
18,3,-5.0408678366684E-09,-5.8533171928179E-09
18,4,5.4623764843627E-08,-7.8388548148556E-10
18,5,5.9766635533013E-09,2.6137281771815E-08
18,6,1.3575854125188E-08,-1.3245940306676E-08
18,7,6.7927734328397E-09,7.4653442471357E-09
18,8,3.0496481606332E-08,4.3464155490012E-09
18,9,-1.9570015567417E-08,3.6132849083828E-08
18,10,5.2154273334456E-09,-4.2405150944919E-09
18,11,-6.8880160625585E-09,2.1184269793916E-09
18,12,-2.9749421688475E-08,-1.6563445718267E-08
18,13,-6.2539880249707E-09,-3.4937144333035E-08
18,14,-8.2950354756186E-09,-1.2827943196128E-08
18,15,-4.0466866260824E-08,-2.0277258670037E-08
18,16,1.0161782975135E-08,6.5045637273600E-09
18,17,3.4812470396806E-09,4.3827696444088E-09
18,18,2.9943782938479E-09,-1.0846176861210E-08
19,0,-3.3026312765900E-09,0.0000000000000E+00
19,1,-8.9769027560816E-09,1.1889030831938E-09
19,2,3.5740453445242E-08,-2.3688286753299E-09
19,3,-7.5649202197623E-09,1.0959065893359E-09
19,4,1.5808865359885E-08,-8.1473233173235E-09
19,5,1.0391597268342E-08,2.7446338894826E-08
19,6,-4.7994812711019E-09,1.8755370709569E-08
19,7,5.6405757749713E-09,-8.7449658669008E-09
19,8,2.9885533363576E-08,-9.9930597888492E-09
19,9,3.2891408752002E-09,7.2395678967474E-09
