degree,order,C,S
18,18,5.02526713811e-7,3.0687978908e-7
19,0,3.08367385325e-7,0.0
19,1,4.31653384663e-7,3.6074996456e-7
19,2,-9.75699313895e-8,1.3621700523e-7
19,3,1.42905418288e-8,-2.18023846594e-7
19,4,-4.37182375465e-8,4.29770864452e-7
19,5,5.43138704591e-8,-3.56811607183e-7
19,6,-1.59468836066e-7,-8.26647381841e-8
19,7,-4.27647224967e-7,1.27481863822e-7
19,8,2.93719663721e-7,-1.44873389049e-7
19,9,1.42302567115e-7,3.72160855662e-7
19,10,6.37325008324e-7,-1.88021013383e-7
19,11,-2.83414678615e-7,-3.98421933197e-7
19,12,-2.39144590294e-7,-1.4517121242e-7
19,13,-2.4570986905e-7,-8.46038897859e-8
19,14,2.12786874315e-7,4.47850969436e-7
19,15,6.83529042031e-7,4.38374824955e-7
19,16,-1.46097177196e-7,-1.88643587354e-7
19,17,-1.54870469047e-7,-7.49093158592e-7
19,18,-6.15123076598e-7,5.35791296332e-7
19,19,-4.12239771169e-7,-8.13439822956e-7
20,0,3.66257053953e-7,0.0
20,1,1.94903089617e-7,4.37432561589e-7
20,2,6.10899157592e-8,-2.89410984813e-7
20,3,1.18392865149e-7,2.04371724986e-7
20,4,-2.22886492877e-7,4.006299066e-7
20,5,-6.77150869887e-8,-7.6127484095e-8
20,6,2.8758604305e-7,6.29725922496e-7
20,7,2.45275527495e-7,-3.25572489742e-7
20,8,4.26143456711e-7,1.66648640046e-7
20,9,-4.62618455189e-8,9.36724491694e-8
20,10,-3.73595691451e-7,-3.36942349277e-8
20,11,-1.19047212461e-8,-8.47505346729e-8
20,12,-4.40640724286e-7,-5.98213061471e-9
20,13,6.09406476295e-8,2.16239425806e-7
20,14,3.75102497716e-7,1.68547566271e-7
20,15,2.84248949906e-7,-4.23067344167e-7
20,16,2.35746984773e-7,-2.52717874987e-7
20,17,-2.09385860816e-7,-2.97554465778e-8
20,18,5.18156550911e-8,7.22624953757e-7
20,19,2.65902459955e-7,-1.38952738638e-7
20,20,-4.3242212377e-7,1.85282363539e-7
21,0,1.36162789788e-7,0.0
21,1,-1.97337569401e-7,-9.24239300593e-8
21,2,1.72466386837e-7,-3.02364474829e-7
21,3,-1.20400832146e-7,1.0179394576e-7
21,4,-1.84001883371e-7,2.48610318949e-8
21,5,5.06655263473e-7,1.40339481499e-7
21,6,9.69970324895e-8,2.10511435387e-7
21,7,1.52310270141e-7,-3.89071817981e-7
21,8,-1.828270552e-8,2.20851088659e-7
21,9,-1.26372331381e-7,-1.95349647054e-7
21,10,-3.65010618904e-7,2.00332141692e-7
21,11,-1.7720699256e-7,-2.34120096082e-7
21,12,1.7585929118e-7,-5.37104936891e-8
21,13,1.16914389414e-7,1.68703127376e-7
21,14,1.11580198703e-7,-3.65209801482e-7
21,15,-3.57183944018e-7,-5.1997703837e-7
21,16,-4.00192057411e-7,-1.45686770495e-12
21,17,-3.17486460879e-7,-3.00548028585e-7
21,18,3.51650994189e-7,5.83821705688e-7
21,19,1.93831079546e-8,-5.02685404381e-7
21,20,-2.49576024707e-7,-4.39429613674e-7
21,21,7.39134669161e-7,2.29680574057e-7
22,0,1.58771990938e-7,0.0
22,1,-1.63836199971e-7,-2.08085542205e-7
22,2,1.58465589671e-7,1.74755702672e-7
22,3,-2.47766585012e-7,7.31045671043e-8
22,4,1.70891036849e-7,-2.39372069599e-7
22,5,1.06028055958e-7,1.52520825831e-7
22,6,-7.83216002116e-8,-2.7018311354e-7
22,7,4.01305876619e-7,-3.65280658889e-8
22,8,-1.819927492e-7,-2.56933196103e-7
22,9,-4.00281576026e-9,1.77258217959e-7
22,10,-5.877973652e-8,3.92377281124e-7
22,11,9.25369171343e-8,-5.19496179183e-8
22,12,3.7150755071e-7,1.33261544899e-7
22,13,-1.63806004416e-7,-1.55267450272e-7
22,14,-5.20305696793e-9,-5.43489117628e-7
22,15,-3.33401361423e-7,2.42705951891e-7
22,16,-1.3116944195e-7,-6.65018953393e-8
22,17,1.86748175912e-7,2.04921209966e-7
22,18,-1.50605587408e-7,1.32304862851e-7
22,19,2.8131667775e-7,-6.8684001337e-7
22,20,-3.76843396631e-7,1.88868951222e-7
