Zkm	TOTALNumden	N2Numdencm3	CH4Ndencm3	ArNdencm3	rhogcm3	Pergscm3	TempK	Fc
178.0	3.31396E+16	3.14827E+16	1.65698E+15	9.94188E+11	1.50732E-06	6.78037E+02	148.26	1.00000
176.0	3.49810E+16	3.32319E+16	1.74905E+15	1.04943E+12	1.59108E-06	7.14756E+02	148.06	1.00000
174.0	3.69303E+16	3.50837E+16	1.84651E+15	1.10791E+12	1.67973E-06	7.53579E+02	147.87	1.00000
172.0	3.89962E+16	3.70464E+16	1.94981E+15	1.16989E+12	1.77370E-06	7.94623E+02	147.66	1.00000
170.0	4.11842E+16	3.91250E+16	2.05921E+15	1.23553E+12	1.87322E-06	8.38036E+02	147.45	1.00001
168.0	4.35015E+16	4.13265E+16	2.17508E+15	1.30504E+12	1.97863E-06	8.83954E+02	147.25	1.00001
166.0	4.59592E+16	4.36613E+16	2.29796E+15	1.37878E+12	2.09041E-06	9.32531E+02	147.03	1.00001
164.0	4.85634E+16	4.61353E+16	2.42817E+15	1.45690E+12	2.20886E-06	9.83934E+02	146.82	1.00001
162.0	5.13228E+16	4.87567E+16	2.56614E+15	1.53968E+12	2.33437E-06	1.03833E+03	146.60	1.00001
160.0	5.42517E+16	5.15391E+16	2.71258E+15	1.62755E+12	2.46758E-06	1.09591E+03	146.38	1.00001
158.0	5.73525E+16	5.44848E+16	2.86762E+15	1.72057E+12	2.60862E-06	1.15686E+03	146.17	1.00001
156.0	6.06443E+16	5.76120E+16	3.03222E+15	1.81933E+12	2.75834E-06	1.22140E+03	145.95	1.00001
154.0	6.41352E+16	6.09285E+16	3.20676E+15	1.92406E+12	2.91713E-06	1.28975E+03	145.72	1.00001
152.0	6.78429E+16	6.44509E+16	3.39215E+15	2.03529E+12	3.08577E-06	1.36215E+03	145.49	1.00001
150.0	7.17721E+16	6.81832E+16	3.58859E+15	2.15316E+12	3.26447E-06	1.43886E+03	145.27	1.00001
148.0	7.60124E+16	7.22117E+16	3.80062E+15	2.28037E+12	3.45735E-06	1.52016E+03	144.92	1.00001
146.0	8.09868E+16	7.69374E+16	4.04933E+15	2.42960E+12	3.68360E-06	1.60666E+03	143.76	1.00001
144.0	8.52502E+16	8.09877E+16	4.26252E+15	2.55751E+12	3.87753E-06	1.69840E+03	144.37	1.00001
