RANK 0
N Nodes 40
Namespace(algo='dqn', batch_size=256, checkpoint_freq=1000, continuetraining=0, data_dir='data/', discount=0.95, ent_coef=0.1, env='Aerobraking', eps_decay=5000, initialrank=0, load='', log='log.txt', lr=0.0001, niter=1000000, nominal=0, nproc=1, ntest=100, output='NN', parallel_env=1, phase='Main', print_freq=200, replay_size=50000, replaycreation=0, save_dir='breakout/', sim=0, target_update=10000, test=0, train_freq=5, train_start=10000, value_coef=0.5)
running on device cuda
-- Start Training --
iter    126 |rank     7 |loss    nan |n_ep    23 |ep_len    4.0 |ep_rew  -4.26 |num_manevuers    3.0 |num_thermalviolations     0 | num_reachedgoal     0 | num_impact     2 | num_outdragpassage    21 |no_reached_goal     0 | distance_goal 5946.50 |days_mission   0.77  |deltav   1.60 |time 00:78 rem 172:2296 |heatrate [0.183, 0.13, 0.242, 0.043] |actions [6, 10, 2, 12] |ra [10036.778, 9980.6, 9937.796, 9860.051, 9846.499] |hp [110.093, 111.892, 109.988, 116.058] |omega [64.45, 64.3, 64.15, 64.0] |corridor maneuver     0
iter    132 |rank    37 |loss    nan |n_ep    24 |ep_len    4.0 |ep_rew  -5.33 |num_manevuers    3.0 |num_thermalviolations     1 | num_reachedgoal     0 | num_impact     3 | num_outdragpassage    21 |no_reached_goal     0 | distance_goal 5943.13 |days_mission   0.78  |deltav   2.30 |time 00:80 rem 170:180 |heatrate [0.04, 0.051, 0.152, 0.336] |actions [6, 2, 0, 0] |ra [10036.063, 10023.422, 10005.899, 9949.441, 9843.129] |hp [114.401, 112.481, 106.154, 99.844] |omega [74.97, 74.83, 74.69, 74.54] |corridor maneuver     0
iter    136 |rank     8 |loss    nan |n_ep    25 |ep_len    3.0 |ep_rew  -4.11 |num_manevuers    2.0 |num_thermalviolations     0 | num_reachedgoal     0 | num_impact     3 | num_outdragpassage    22 |no_reached_goal     0 | distance_goal 6064.50 |days_mission   0.78  |deltav   1.60 |time 00:82 rem 168:534 |heatrate [0.024, 0.076, 0.071, 0.035] |actions [6, 0, 8, 11] |ra [10036.304, 10028.16, 10000.555, 9976.526, 9964.501] |hp [113.602, 107.254, 107.867, 110.997] |omega [82.96, 82.81, 82.66, 82.51] |corridor maneuver     1
iter    137 |rank    10 |loss    nan |n_ep    26 |ep_len    3.0 |ep_rew  -5.13 |num_manevuers    2.0 |num_thermalviolations     1 | num_reachedgoal     0 | num_impact     4 | num_outdragpassage    22 |no_reached_goal     0 | distance_goal 5937.16 |days_mission   0.78  |deltav   2.30 |time 00:83 rem 168:1625 |heatrate [0.024, 0.078, 0.093, 0.424] |actions [6, 0, 2, 0] |ra [10040.275, 10031.807, 10004.041, 9974.327, 9837.156] |hp [114.07, 107.726, 105.813, 99.5] |omega [76.35, 76.2, 76.05, 75.91] |corridor maneuver     1
iter    148 |rank    34 |loss    nan |n_ep    27 |ep_len    3.0 |ep_rew  -4.11 |num_manevuers    1.0 |num_thermalviolations     0 | num_reachedgoal     0 | num_impact     4 | num_outdragpassage    23 |no_reached_goal     0 | distance_goal 6095.93 |days_mission   0.58  |deltav   0.10 |time 00:94 rem 176:3427 |heatrate [0.044, 0.055, 0.041] |actions [6, 4, 6] |ra [10038.672, 10024.374, 10007.766, 9995.926] |hp [114.009, 113.352, 113.337] |omega [76.82, 76.67, 76.52] |corridor maneuver     0
iter    152 |rank    28 |loss    nan |n_ep    28 |ep_len    3.0 |ep_rew  -4.13 |num_manevuers    2.0 |num_thermalviolations     0 | num_reachedgoal     0 | num_impact     4 | num_outdragpassage    24 |no_reached_goal     0 | distance_goal 6058.10 |days_mission   0.58  |deltav   0.35 |time 00:95 rem 174:1426 |heatrate [0.093, 0.057, 0.05] |actions [6, 10, 7] |ra [10038.246, 9999.99, 9977.282, 9958.103] |hp [112.078, 113.902, 114.177] |omega [67.29, 67.14, 66.99] |corridor maneuver     0
iter    153 |rank    38 |loss    nan |n_ep    29 |ep_len    2.0 |ep_rew  -4.00 |num_manevuers    1.0 |num_thermalviolations     0 | num_reachedgoal     0 | num_impact     4 | num_outdragpassage    25 |no_reached_goal     0 | distance_goal 6093.90 |days_mission   0.39  |deltav   0.05 |time 00:95 rem 173:1769 |heatrate [0.081, 0.043] |actions [6, 7] |ra [10039.586, 10009.419, 9993.898] |hp [111.466, 111.748] |omega [65.43, 65.28] |corridor maneuver     0
iter    155 |rank    19 |loss    nan |n_ep    30 |ep_len    2.0 |ep_rew  -4.00 |num_manevuers    1.0 |num_thermalviolations     0 | num_reachedgoal     0 | num_impact     4 | num_outdragpassage    26 |no_reached_goal     0 | distance_goal 6107.63 |days_mission   0.39  |deltav   0.20 |time 00:96 rem 172:1783 |heatrate [0.041, 0.039] |actions [6, 3] |ra [10035.602, 10020.018, 10007.628] |hp [115.144, 113.855] |omega [77.48, 77.33] |corridor maneuver     0
iter    157 |rank    36 |loss    nan |n_ep    31 |ep_len    3.0 |ep_rew  -4.15 |num_manevuers    2.0 |num_thermalviolations     0 | num_reachedgoal     0 | num_impact     4 | num_outdragpassage    27 |no_reached_goal     0 | distance_goal 6042.95 |days_mission   0.58  |deltav   0.70 |time 00:96 rem 170:2651 |heatrate [0.106, 0.083, 0.041] |actions [6, 11, 9] |ra [10035.834, 9990.556, 9957.434, 9942.947] |hp [110.951, 113.969, 115.143] |omega [61.31, 61.16, 61.01] |corridor maneuver     0
iter    166 |rank    33 |loss    nan |n_ep    32 |ep_len    3.0 |ep_rew  -4.15 |num_manevuers    2.0 |num_thermalviolations     0 | num_reachedgoal     0 | num_impact     4 | num_outdragpassage    28 |no_reached_goal     0 | distance_goal 6081.93 |days_mission   0.58  |deltav   1.50 |time 00:100 rem 168:1119 |heatrate [0.059, 0.09, 0.023] |actions [6, 1, 12] |ra [10035.653, 10016.915, 9989.964, 9981.933] |hp [113.731, 110.562, 116.783] |omega [74.46, 74.32, 74.18] |corridor maneuver     0
iter    170 |rank    30 |loss    nan |n_ep    33 |ep_len    2.0 |ep_rew  -4.00 |num_manevuers    1.0 |num_thermalviolations     0 | num_reachedgoal     0 | num_impact     4 | num_outdragpassage    29 |no_reached_goal     0 | distance_goal 6108.27 |days_mission   0.59  |deltav   2.00 |time 00:102 rem 166:3399 |heatrate [0.019, 0.058, 0.015] |actions [6, 0, 12] |ra [10039.716, 10032.278, 10014.618, 10008.274] |hp [115.12, 108.77, 115.058] |omega [82.83, 82.68, 82.53] |corridor maneuver     1
